# P	count	tag	form
1.00	2	VERB	воскликнула
1.00	1	VERB	смахивая
1.00	1	NOUN	платочком
1.00	1	NOUN	пудру
1.00	2	NOUN	плеча
1.00	1	ADP	За
1.00	1	DET	твои
1.00	3	NOUN	слова
1.00	16	PRON	я
1.00	1	ADJ	готова
1.00	1	VERB	отдать
1.00	2	DET	весь
1.00	1	PROPN	Нью-Йорк
1.00	1	ADP	со
1.00	1	PRON	всем
1.00	1	PRON	нем
0.25	1	CCONJ	Да
0.75	3	PART	Да
1.00	1	ADV	много
1.00	1	PART	ли
1.00	4	SCONJ	чтобы
1.00	1	ADJ	счастливыми
1.00	1	NOUN	грусти
1.00	3	VERB	поглядел
1.00	1	ADJ	безукоризненные
1.00	1	NOUN	манжеты
1.00	1	ADJ	ослепительные
1.00	1	ADJ	лакированные
1.00	1	NOUN	туфли
1.00	1	ADJ	Труднее
1.00	1	PRON	всего
1.00	2	VERB	придется
1.00	8	ADP	по
1.00	2	NOUN	части
1.00	1	NOUN	барахла
1.00	1	VERB	заявил
1.00	5	PART	ведь
1.00	1	VERB	питал
1.00	2	NOUN	слабость
1.00	1	ADJ	хорошим
1.00	2	NOUN	вещам
1.00	6	PRON	Ты
1.00	2	VERB	знаешь
1.00	1	VERB	ненавижу
1.00	2	NOUN	дешевку
1.00	1	DET	Этот
1.00	1	NOUN	костюм
1.00	1	VERB	обошелся
1.00	1	NUM	шестьдесят
1.00	3	NUM	пять
1.00	9	NOUN	долларов
1.00	1	ADP	Насчет
1.00	1	NOUN	одежды
1.00	1	ADJ	разборчив
1.00	1	ADJ	должно
1.00	1	ADJ	первого
1.00	1	NOUN	сорта
1.00	1	CCONJ	иначе
1.00	3	PRON	меня
1.00	1	VERB	начну
1.00	2	VERB	работать
1.00	1	ADV	тогда
1.00	1	VERB	прощай
1.00	1	NOUN	человечек
1.00	1	ADJ	большими
1.00	1	NOUN	ножницами
1.00	1	NOUN	Пустяки
1.00	1	ADJ	дорогой
1.00	2	AUX	будешь
1.00	1	ADJ	мил
1.00	1	ADJ	синем
1.00	2	NOUN	свитере
1.00	1	ADV	ничуть
1.00	1	NUM	меньше
1.00	1	PRON	чём
1.00	2	ADJ	красном
1.00	1	NOUN	автомобиле
1.00	5	ADP	На
1.00	1	NOUN	заре
1.00	1	NOUN	юности
1.00	2	ADV	пока
1.00	4	ADV	еще
